Id,Album,Genres,Label,Time,TrackName,Price, Artist,Released
1,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 3:32, Welcome To New York,$1.29 , Taylor Swift,27-Oct-14
2,1989,"Pop, Music,Rock","2014 Big Machine Records, LLC.", 3:51, Blank Space,$1.29 , Taylor Swift,27-Oct-14
3,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 3:51, Style,$1.29 , Taylor Swift,27-Oct-14
4,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 3:55, Out of the Woods,$1.29 , Taylor Swift,27-Oct-14
5,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 3:13, All You Had To Do Was Stay,$1.29 , Taylor Swift,28-Oct-14
6,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 3:39, Shake It Off,$1.29 , Taylor Swift,27-Oct-14
7,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 3:27, I Wish You Would,$1.29 , Taylor Swift,27-Oct-14
8,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 3:31, Bad Blood,$1.29 , Taylor Swift,27-Oct-14
9,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 3:40, Wildest Dreams,$1.29 , Taylor Swift,27-Oct-14
10,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 4:07, How You Get the Girl,$1.29 , Taylor Swift,27-Oct-14
11,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 4:10, This Love,$1.29 , Taylor Swift,27-Oct-14
12,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 3:15, I Know Places,$1.29 , Taylor Swift,27-Oct-14
13,1989,"Pop, Music, Rock","2014 Big Machine Records, LLC.", 4:31, Clean,$1.29 , Taylor Swift,27-Oct-14
14, Red,"Country, Music, Rock, Contemporary Country, Honky Tonk, Pop, Teen Pop","2012 Big Machine Records, LLC.", 4:55, State of Grace,$1.29 , Taylor Swift,22-Oct-12
15, Red,"Country, Music, Rock, Contemporary Country, Honky Tonk, Pop, Teen Pop","2013 Big Machine Records, LLC.", 3:43, Red,$1.29 , Taylor Swift,23-Oct-12
16, Red,"Country, Music, Rock, Contemporary Country, Honky Tonk, Pop, Teen Pop","2012 Big Machine Records, LLC.", 4:02, Treacherous,$1.29 , Taylor Swift,22-Oct-12
